prompt,reference,split
"
Question: Joe's biggest hobby is taking pictures of birds. He had been trying to spot a rare type of bird, called the bluebird, for months. After numerous attempts, he finally spotted one sitting on a tree branch and was delighted. So, he sat down and prepared his camera to take the photo, but as he wanted to take the picture, the bird flew away. As Joe was staying there staring at the empty branch, the bird flew back.
 What emotion is Joe feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Delight
B: Disappointment
C: Anger
D: Pessimism
E: Remorse
F: Anticipation

Cause Options:
A: He has a new camera
B: He just likes sitting outside
C: He finally gets to take pictures of the bird he was looking for
D: He enjoys sitting on a tree branch.

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Delight, Cause: C: He finally gets to take pictures of the bird he was looking for",train
"
Question: Mira had always been afraid of dogs. One day, while walking in her neighborhood, she saw an injured puppy on the sidewalk. She cautiously approached, quickly wrapped it in her scarf, and took it to the vet. A few weeks of visits later, Mira found herself getting attached to the creature.
 What emotion is Mira feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Fear
B: Love
C: Nervousness
D: Disgust
E: Disappointment
F: Hopeful

Cause Options:
A: She feels gratitude for the puppy not attacking her
B: She is forced to care for the puppy
C: She begins to take care of and develop a bond with the puppy
D: She feels pity for every dog now.

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: B: Love, Cause: C: She begins to take care of and develop a bond with the puppy",train
"
Question: Dorea was trying to cook a Baklava. When she took it out of the oven, the Baklava was ruined as the bread was not crispy, and the filling was bursting all over the pan. At that moment, her daughter came home and noticed her mom's fresh yet ruined Baklava. She tasted it and gave a thumbs-up to her mother.
 What emotion is Dorea feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Delight
B: Anger
C: Embarrassment
D: Hopeless
E: Pride
F: Disappointment

Cause Options:
A: Her daughter tried to make her feel better, despite not enjoying the Baklava
B: Her daughter enjoyed the Baklava despite it being ruined
C: The Baklava was not ruined
D: Her daughter just arrived home

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Delight, Cause: B: Her daughter enjoyed the Baklava despite it being ruined",train
"
Question: After waiting for almost two hours for his date, Roger was considering leaving when he heard a familiar voice behind him. It was his date, Jessica, who frantically apologized for being late and explained she had been helping a family stuck on the highway.
 What emotion is Roger feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Disappointment
B: Admiration
C: Anger
D: Embarrassment
E: Gratitude
F: Remorse

Cause Options:
A: Jessica apologized for being late
B: Jessica was stuck in traffic
C: Jessica was helping a family stuck on the highway
D: Jessica arrived at the date after two hours

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: B: Admiration, Cause: C: Jessica was helping a family stuck on the highway",train
"
Question: On his way to work, Andre was stuck in traffic when a person started shouting at him for being a bad driver. Once he came out of the car to confront that person, he realized it was his dad.
 What emotion is Andre feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Disapproval
B: Amusement
C: Annoyance
D: Nervousness
E: Fear
F: Unbothered

Cause Options:
A: He loves traffic
B: He enjoys confrontations
C: The person shouting at him turned out to be his dad
D: He enjoys being called a bad driver.

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: B: Amusement, Cause: C: The person shouting at him turned out to be his dad",train
"
Question: Liam, a teenager often overlooked by his parents, found pride in keeping a flawless academic record. His parents told him they'd be skipping his awards ceremony for his younger brother's baseball game. With a crushing feeling in his heart, he climbed the stage alone. As he looked into the audience, he saw his parents sitting in the front row, smiling and clapping for him.
 What emotion is Liam feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Pride
B: Jealousy
C: Sadness
D: Disappointment
E: Embarrassment
F: Delight

Cause Options:
A: His parents skipped his younger brother's baseball game to attend his awards ceremony
B: His flawless academic record has brought him a lot of satisfaction
C: His parents managed to attend both his ceremony and his brother's baseball game
D: He was alone on the stage and liked the attention.

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: F: Delight, Cause: A: His parents skipped his younger brother's baseball game to attend his awards ceremony",train
"
Question: After weeks of hard work and determination, Andy was finally able to open his art exhibition and display his portraits. While he invited all of the people at work, none of them showed up. As he was packing up to leave, his boss showed up, pointed to his painting, and praised his skills.
 What emotion is Andy feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Gratitude & Anger
B: Embarrassment & Joy
C: Sadness & Anger
D: Gratitude & Joy
E: Embarrassment & Sadness
F: Embarrassment & Anger

Cause Options:
A: Nobody from work showed up
B: His boss showed up and praised his work
C: He didn't like his own drawings
D: His coworkers disliked his artwork

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: D: Gratitude & Joy, Cause: B: His boss showed up and praised his work",train
"
Question: Simon, an amateur painter, had been working on a portrait of his deceased pet for over a week. After he finally completed it, he stepped back and immediately noticed that he had painted the wrong color for his pet's fur. Just then, his wife saw it and exclaimed, ""That's exactly how I remember him!""
 What emotion is Simon feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Delight
B: Anger
C: Embarrassment
D: Hopeless
E: Pride
F: Disappointment

Cause Options:
A: He thought he had painted the perfect portrait
B: His wife appreciated his effort and liked his portrait
C: He made a mistake in a painting he cared about
D: His wife appreciated his effort despite noticing the mistake

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Delight, Cause: B: His wife appreciated his effort and liked his portrait",train
"
Question: After waiting for almost two hours for his date, Roger was considering leaving when he heard a familiar voice behind him. It was his date, Jessica, who frantically apologized for being late and explained she had been helping a family stuck on the highway.
 What emotion is Jessica feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Guilt
B: Gratitude
C: Trust
D: Curiosity
E: Amusement
F: Disapproval

Cause Options:
A: She had to leave the family on the highway to come to the date
B: She felt she should not have agreed to the date with Roger
C: She was late to the date because she stopped to help a family on the way
D: She was thinking about ending the date early.

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Guilt, Cause: C: She was late to the date because she stopped to help a family on the way",train
"
Question: Momo loved dancing and used it as an escape from her stressful life. Today, her client refused her work multiple times which resulted in her being reprimanded by her boss. Arriving at the dance studio, she put her bag down and screamed before starting to dance. After she finished dancing, Momo closed her eyes and nodded to herself in the mirror.
 What emotion is Momo feeling, and why? First select an emotion, then choose its cause.

Emotion Options:
A: Relief
B: Sadness
C: Anger
D: Hopeless
E: Amusement
F: Guilt

Cause Options:
A: She got praised by her boss
B: She was able to dance away her frustration and stress
C: She finally satisfied her client's expectation
D: Her client accepted her work after many changes.

Answer the question and return in the following format:

<think>
Your reasoning process.
</think>

<answer>
Emotion: [option letter]: [option text]
Cause: [option letter]: [option text]
</answer>
","Emotion: A: Relief, Cause: B: She was able to dance away her frustration and stress",train
