prompt,reference,split
"
Translate the following text from Italian to Russian:

Le onde della vita subcosciente avevano già cominciato ad affluirgli alla testa. Ma a un tratto, proprio come se una fortissima scarica elettrica si fosse scaraventata su di lui, rabbrividì in modo che tutto il corpo sussultò sulle molle del divano e, poggiatosi con le mani, saltò su in ginocchio, spaventato.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Волны моря бессознательной жизни стали уже сходиться над его головой, как вдруг, -- точно сильнейший заряд электричества был разряжен в него, -- он вздрогнул так, что всем телом подпрыгнул на пружинах дивана и, упершись руками, с испугом вскочил на колени.",train
"
Translate the following text from Spanish to Russian:

–Es preciso apresurarse mientras dura el buen tiempo. Si se hace así saldrá un heno excelente ––dijo el viejo, que se había sentado junto a Levin–.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",-- За погодку убрать!,train
"
Translate the following text from French to Dutch:

Déjà la plaine avait repris sa tranquillité, et c’est à peine s’ils purent entrevoir une ligne mouvante qui ondulait au loin dans les ombres de la nuit.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Reeds was het doodstil op de vlakte geworden, en met moeite konden zij in de schaduwen van den nacht in de verte een voortgolvende lijn onderscheiden.",train
"
Translate the following text from French to Dutch:

-- Mais alors que savez-vous? demanda Glenarvan.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","""Door mij? maar wat weet gij dan toch?"" vroeg Glenarvan gejaagd.",train
"
Translate the following text from French to Dutch:

Avait-il comme un pressentiment?

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",Had hij soms een voorgevoel?,train
"
Translate the following text from English to French:

Suddenly, after a space of time that I could not measure, I felt a shock. The raft had not struck against any hard resistance, but had suddenly been checked in its fall.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Tout à coup, après un temps inappréciable, je ressentis comme un choc; le radeau n'avait pas heurté un corps dur, mais il s'était subitement arrêté dans sa chute.",train
"
Translate the following text from Hungarian to Dutch:

Hamarosan csak kétmérföldnyire voltak a zátony meredek partjától.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",Weldra was ze nog maar twee mijlen van den buitenrand der baai.,train
"
Translate the following text from Hungarian to Dutch:

Harminc atmoszféra nyomás nehezedett rám, mégis egész könnyen mozogtam.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Ik was vrij in mijn bewegingen, hoewel mijn lichaam een drukking van dertig atmosferen ondervond.",train
"
Translate the following text from Spanish to Dutch:

No se sabe; pero sus hermosos ojos, límpidos como los sagrados lagos del Himalaya, se fijaban sobre los de Fogg, quien, tan intratable y tan abotonado como siempre, no parecía dispuesto a arrojarse en el referido lago.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Altijd vestigde zij op Fogg hare groote oogen, vochtig als de heilige meren van den Himalaya. Maar de onhandelbare Fogg, nog geslotener dan ooit, scheen de man niet om zich in dit meer te werpen.",train
"
Translate the following text from Spanish to Russian:

Allí nos pondremos de acuerdo sobre dónde podemos vernos.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Там мы условимся, где.",train
"
Translate the following text from Hungarian to Dutch:

A levegő azonban lehűlt. Fáztam, és nagyon éhes is voltam.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",De warmte was echter afgenomen; ik was koud en had vooral honger.,train
"
Translate the following text from Spanish to Dutch:

El voraz animal se lanzó hacia el indio, quien se echó a un lado y pudo evitar así la mordedura del tiburón pero no su coletazo, que le golpeó en el pecho y le derribó al suelo.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Het verslindende dier snelde op den Hindoe toe; deze sprong op zijde en vermeed daardoor wel den beet van het dier, maar geenszins een slag met den staart, want hij kreeg een klap tegen de borst en viel op den grond neer.",train
"
Translate the following text from English to Spanish:

""Then how did it manage?""

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","–Entonces, ¿cómo se explica...?",train
"
Translate the following text from Catalan to English:

Mireu al darrera vostre, tia!

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Look behind you, aunt!""",train
"
Translate the following text from English to Hungarian:

""No,"" replied Mr. Fogg.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",Nem - felelte Mr. Fogg.,train
