prompt,reference,split
"
Question: A dependent child with earned income in excess of the available standard deduction amount must file a tax return.
a. True
b. False

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",a,train
"
Question: Consider three mutually exclusive alternatives, each with a 10-yr useful life. If the MARR is 10%, which alternative should be selected? Solve the problem by benefit-cost ratio analysis.

 
  
   
    
   Alt  
   Alt B 
   Alt C 
   
   
   Cost 
   $800 
   $300 
   $150 
   
   
   Uniform Annual Benefit 
   $142 
   $60 
   $33.50

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",Alternative C,train
"
Question: Which of the following could not reasonably be considered an advantage of a flexible exchange rate?

a) stability in that nation's international good market.

b) low cost to implement.

c) control over the domestic interest rates.

d) none of the above.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(A) stability in that nation's international good market.,train
"
Question: Suppose Toyota buys a factory that was previously owned by Chrysler Motors. Economists would:

a. consider this to be an economic investment.

b. not consider this to be an economic investment because Toyota is less efficient than Chrysler.

c. not consider this to be an economic investment because no new capital is created through the purchase.

d. not consider this to be an economic investment because there is no way to know how it will affect stock holdings in the two companies.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(C) not consider this to be an economic investment because no new capital is created through the purchase.,train
"
Question: Supply side theorists claimed all of the following justifications for their theory, except:

a. Reduced tax rates improve incentives to work and will thereby increase the SRAS

b. Reduced tax rates will improve savings and lead to increased investment spending and increased AD c. The increases in SRAS and AD will increase Real GDP without affecting the price level

d. The reduction in tax rates will cause massive deficits, however.

e. The government will be able to collect more revenues (Laffer Curve)

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","(D) The reduction in tax rates will cause massive deficits, however.",train
"
Question: Suppose pigs (P) can be fed corn-based feed (C) or soybean-based feed (S) such that the production function is P=2C+5S. If the price of corn feed is $2, and the price of soybean feed is $5, what is the cost-minimizing feed combination producing P=100?

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",2C + 5S = 100,train
"
Question: The government wants to raise a fixed amount of tax revenue by imposing an excise tax in the market for beer and/or in the market for wine. Assume that the supply is perfectly elastic in the two markets, that neither the demand for beer nor the demand for wine is perfectly elastic, but that the demand for wine is more elastic than the demand for beer. In that case, which of the four statements below will be correct:

(i) It would be more efficient for the government to impose a tax in the market for beer only.(ii) It would be more efficient for the government to impose a tax in the market for wine only.(iii) It would be more efficient for the government to impose a tax in both markets with a higher tax in the market for beer.(iv) It would be more efficient for the government to impose a tax in both markets with a higher tax in the market for wine.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(i) It would be more efficient for the government to impose a tax in the market for beer only.,train
"
Question: Which of the following best describes sunk costs?

a. Costs of ingredients that firm uses to make food it sells to customers

b. Any future costs associated with future decisions of the firm

c. The costs associated with a massive ad campaign the firm uses each month

d. The costs of electricity and utilities the firm uses each month

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(C) The costs associated with a massive ad campaign the firm uses each month,train
"
Question: Here are the demand schedules of three people, Smith, Morris, and Lewis for soda for today at FSC.

Calculate the market demand schedule.


Price per CanQuantity Demanded by SmithQuantity Demanded by MorrisQuantity Demanded by LewisTotal Market Demand
$1.00100
$0.90320
$0.80651
$0.701094
$0.6015158

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","Price per Can | Quantity Demanded by Smith | Quantity Demanded by Morris | Quantity Demanded by Lewis | Total Market Demand
$1.00 | 1 | 0 | 0 | 1
$0.90 | 3 | 2 | 0 | 5
$0.80 | 6 | 5 | 1 | 12
$0.70 | 10 | 9 | 4 | 23
$0.60 | 15 | 15 | 8 | 38",train
"
Question: Answer question 4 on the basis of the following table, assuming just two countries, two goods, and only one input, labor. Which of the following is true? (2 points)

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",A,train
"
Question: A good or service that a business can charge for, and consumption by one person does not reduce the ability of others to consume the same product is considered a

a) public good.

b) quasi-public good.

c) private good.

d) public-private partnership.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(B) quasi-public good.,train
"
Question: If the implied exchange rate between Big Mac prices in the United States and Poland is 2.13 zlotys per dollar, but the actual exchange rate between the United States and Poland is 3.16 zlotys per dollar, which of the following would you expect to see?

a. an appreciation of the dollar

b. an increase in the demand for zlotys

c. an increase in the demand for dollars

d. both an appreciation of the dollar and an increase in the demand for dollars

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(2) an increase in the demand for zlotys,train
"
Question: Under which of these circumstances would the unemployment rate of a country decline?

a. The number of unemployed persons decreased by a smaller percentage than the labor force declined.

b. The number of unemployed persons increased by a smaller percentage than the labor force increased.

c. The number of unemployed persons decreased by a smaller percentage than the population of people aged {eq}16

{/eq} and above declined.

d. The number of unemployed persons increased by a smaller percentage than the populations of people aged {eq}16

{/eq} and above increased.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(B) The number of unemployed persons increased by a smaller percentage than the labor force increased.,train
"
Question: You are offering advice to an owner of a restaurant and she shares the following information: The restaurant often runs a special on bacon and eggs. Normally, it sells about 250 at a price of $7, but this rises to about 300 at the special price of $5. The chef argues that even 250 pushes the kitchen beyond its production capacity. She argues that a price above $7 would ease the pressure on the kitchen and would leave the restaurant better off. Would you advise the owner to follow the chef's advice? Explain your reasons.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",Yes,train
"
Question: Following are three economic states, their likelihoods, and the potential returns:


Economic State Probability Return
Fast growth 0.31 28 %
Slow growth 0.53 3
Recession 0.16  31
Determine the standard deviation of the expected return. (Do not round intermediate calculations and round your answer to 2 decimal places.)

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",13.02%,train
"
Question: Several types of risk are present in the U.S. economy. Identify the type of risk that is present if a family head may be totally disabled in a plant explosion.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",Personnel risk,train
"
Question: If the unemployment rate is 6 percent and the number of persons unemployed is 6 million, calculate the number of people employed. Show your work.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",94 million,train
"
Question: Rates that the world's largest banks charge one another for loans are called _____.

A) interbank interest rates

B) London Interbank Bid Rates

C) exchange rates

D) official bank rates

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(A) interbank interest rates,train
"
Question: Kyle worked as a free-lance software engineer for the first three months of 2016. During that time, he earned $88,000 of self-employment income. On April 1, 2016, Kyle took a job as a full-time software engineer with one of his former clients, Hoogle Inc. From April through the end of the year, Kyle earned $204,000 in salary.

What amount of FICA taxes (self-employment and employment-related) does Kyle owe for the year?


Self-employment/FICA tax:_____

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","$22,338",train
"
Question: A monopolist has segmented its customers into three groups, A, B, and C, and is discriminating prices between them. Each type A customer has a price elasticity of demand equal to 1.2, each type B customer has a price elasticity of demand equal to 6, and each type C customer has a price elasticity of demand equal to 11. If the firm charges type C customers $11 per unit, what prices should it charge its type A and B customers in order to maximize profit?

a) Type A = $1.20 per unit and type B = $6.00 per unit.

b) Type A = $1.33 per unit and type B = $1.66 per unit.

c) Type A = $12.00 per unit and type B = $6.00 per unit.

d) Type A = $60.00 per unit and type B = $12.00 per unit.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(D) Type A = $60.00 per unit and type B = $12.00 per unit.,train
"
Question: Is it true that given two producers one will always have a comparative advantage producing one good over the other, and vice versa?

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",No,train
"
Question: Market research has revealed the following information about the market for chocolate bars.  The demand schedule can be represented by the equation Qd = 1,600 - 300P, where Qd is the quantity demanded and P is the price.  The supply schedule can be represented by the equations Qs = 1,400 + 700P, where Qs is the quantity supplied.  Calculate the equilibrium price and quantity in the market for chocolate bars.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",The market equilibrium price is $0.2 and the equilibrium quantity is 1540 units.,train
"
Question: Due to the collapse of the stock market and the resulting recession, consumer incomes fall. At the same time, the price of lemons falls. As a result, in the market for swordfish:

A) P and Q' both rise

B) P and Q both fall

C) P rises and falls

D) P falls and Q' rises

E) P rises, but we do not know exactly what happens to Q

F) P falls, but we do not know exactly what happens to Q

G) Q' rises, but we do not know exactly what happens to P

H) Q falls, but we do not know exactly what happens to P

I) either P and both rise, or P and Q' both fall, or neither changes

J) either P rises and Q falls, or P falls and Q rises, or neither changes.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","(I) either P and both rise, or P and Q' both fall, or neither changes",train
"
Question: A review of Bearing's Year 2 records disclosed the following tax information:

Wages $30,000

Taxable interest and qualifying dividends 4,000

Schedule C trucking business net income 32,000

Rental (loss) from residential property (35,000)

Limited partnership (loss) (5,000)

Bearing actively participated in the rental property and was a limited partner in the partnership. Bearing had sufficient amounts at risk for the rental property and the partnership. What is Bearing's Year 2 adjusted gross income?

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","$41,000",train
"
Question: An increase in government spending in the open economy goods market model leads to:

a. an upward shift in the demand for domestic goods, an increase in output, and a decrease in net exportsb. an upward shift in the demand for domestic goods, an increase in output, an upward shift in the net exports relationship, and an increase in net exportsc. an upward shift in the demand for domestic goods, an increase in output, and an increase in net exportsd. a downward shift in the demand for domestic goods, a fall in output, and a fall in net exports

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","(A) an upward shift in the demand for domestic goods, an increase in output, and a decrease in net exportsb. an upward shift in the demand for domestic goods, an increase in output, an upward shift in the net exports relationship, and an increase in net exportsc. an upward shift in the demand for domestic goods, an increase in output, and an increase in net exportsd. a downward shift in the demand for domestic goods, a fall in output, and a fall in net exports",train
"
Question: In which of the following circumstances would the demand for a product most likely be perfectly inelastic?

A) When there are no available substitutes for the good.

B) When the good is absolutely necessary for life.

C) When there is only one supplier of the goods.

D) When a good is highly addictive.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(B) When the good is absolutely necessary for life.,train
"
Question: What is meant by cross-price elasticity of demand for two goods?

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",Cross price elasticity = (Change in quantity demanded of X / Change in price of Y) * (Price of Y / Quantity Demanded of X),train
"
Question: Suppose the demand function for bicycles takes the following form Q = 100 - 5p + 2pm + Y - 3ph, where p is price of bicycles, Q is quantity of bicycles demanded, pm is price of motorcycles, Y is income, and ph is price of helmets.

How would the demand function change from when pm = 5; ph = 1, and Y = 13, and pm = 10, ph = 5, and Y = 13?

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",Q=118-5p,train
"
Question: As a manager of the firm, you calculate that the marginal revenue is R200 and the marginal cost is R1500. You should:

a) decrease output.

b) do nothing since you don't have information about average fixed costs.

c) reduce output to where marginal revenue is equal to marginal costs.

d) increase output to where marginal revenue is equal to marginal costs.

e) maintain the current output unchanged.

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(C) reduce output to where marginal revenue is equal to marginal costs.,train
"
Question: A rational entrepreneur would always employ an additional unit of labor Input as long as:

a. marginal product is less than zero

b. average product is rising

c. marginal product is less than average product

d. marginal product = 0

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
",(D) marginal product = 0,train
"
Question: Rob's utility for peas and carrots is {eq}U(p,c) = 20 ln (p) + c

{/eq}. If the price per pea is $1, the price per carrot is $2, and his minimum utility requirement is 30 * ln(40), how many peas and carrots does he buy?

A) (p*,c*) = (40,10 * ln(40))

B) (p*,c*) = (40,0)

C) (p*,c*) = (0,10 * ln(40))

D) {eq}p*,c*) = ( \sqrt{40},0)

{/eq}

Answer the question and return in the following format:

<think>
...
</think>

<answer>
...
</answer>
","(A) (p*,c*) = (40,10 * ln(40))",train
